cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,elat,glat,orient,inst,mode,categ,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure
1,01176221001,01176221001_10102,01176221001_10102_01,01176221001_0005,907,3.569551,-30.390574,-29.045866,-81.230762,7.5713531,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176221001,01176221001_10102,01176221001_10102_02,01176221001_0006,876,3.569236,-30.392219,-29.047208,-81.229955,7.5713531,NIRCam,Imaging,GTO,1,1,2,6,2
1,01176221001,01176221001_10102,01176221001_10102_03,01176221001_0007,876,3.571143,-30.392491,-29.048197,-81.231414,7.5713531,NIRCam,Imaging,GTO,1,1,2,7,3
1,01176221001,01176221001_10102,01176221001_10102_04,01176221001_0008,876,3.571459,-30.390846,-29.046855,-81.232221,7.5713531,NIRCam,Imaging,GTO,1,1,2,8,4
1,01176221001,01176221001_10103,01176221001_10103_01,01176221001_0009,692,3.569551,-30.390574,-29.045866,-81.230762,7.5713531,NIRCam,Imaging,GTO,1,1,3,9,1
1,01176221001,01176221001_10103,01176221001_10103_02,01176221001_0010,661,3.569236,-30.392219,-29.047208,-81.229955,7.5713531,NIRCam,Imaging,GTO,1,1,3,10,2
1,01176221001,01176221001_10103,01176221001_10103_03,01176221001_0011,661,3.571143,-30.392491,-29.048197,-81.231414,7.5713531,NIRCam,Imaging,GTO,1,1,3,11,3
1,01176221001,01176221001_10103,01176221001_10103_04,01176221001_0012,661,3.571459,-30.390846,-29.046855,-81.232221,7.5713531,NIRCam,Imaging,GTO,1,1,3,12,4
1,01176221001,01176221001_10104,01176221001_10104_01,01176221001_0013,692,3.569551,-30.390574,-29.045866,-81.230762,7.5713531,NIRCam,Imaging,GTO,1,1,4,13,1
1,01176221001,01176221001_10104,01176221001_10104_02,01176221001_0014,661,3.569236,-30.392219,-29.047208,-81.229955,7.5713531,NIRCam,Imaging,GTO,1,1,4,14,2
